state	pathogen	test_result	state_code	country	2021-11-06	2021-11-13	2021-11-20	2021-11-27	2021-12-04	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26
Minas Gerais	FLUA	Pos	MG	Brazil												0.1120872463	0.0631299735	0.0172811060	0.0118265440	0.0046189376	0.0022988506	0.0000000000	0.0000000000	0.0000000000		0.0000000000																																																																									
Minas Gerais	FLUB	Pos	MG	Brazil												0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000		0.0000000000																																																																									
Minas Gerais	META	Pos	MG	Brazil																																																																																															
Minas Gerais	PARA	Pos	MG	Brazil																																																																																															
Minas Gerais	RINO	Pos	MG	Brazil																																																																																															
Minas Gerais	SC2	Pos	MG	Brazil						0.0000000000		0.0000000000	0.1656441718	0.4291938998	0.5371833840	0.5433920355	0.5637126377	0.5409654562	0.4910586552	0.4214079074	0.2968929804	0.2233542320	0.1638795987	0.1304347826	0.0958904110	0.0871632330	0.0749601276	0.0955777461	0.1447587354	0.1815856777	0.2611683849	0.3713577185	0.4368701838	0.4063412599	0.4028013582	0.3577389985	0.3786635404	0.4119980169	0.4289955468	0.4134014764	0.3828306265	0.3551696922	0.3156843157	0.2853932584	0.2759381898	0.1901336074	0.1515151515	0.0952927669	0.0660474716	0.0552763819	0.0367647059	0.0333333333	0.0148514851	0.0711462451	0.0477326969	0.0710900474	0.0873786408	0.1586206897	0.2873949580	0.3598615917	0.4020016681	0.5124298316	0.5342639594	0.5353606789	0.4803817603	0.4274084125	0.3481481481	0.2794411178	0.2173913043	0.2109004739	0.1278026906	0.1290877797	0.1250000000	0.1085409253	0.1288461538	0.1284210526	0.1122994652	0.1358885017	0.1065217391	0.1016260163	0.1212121212	0.0963114754	0.1185567010	0.1911532385	0.1663685152	0.1809369952	0.2000000000	0.1995412844	0.2211302211	0.2028985507	0.2243767313	0.2374301676	0.1868131868	0.1694214876	0.1458333333	0.1879194631	0.1428571429	0.2142857143	
Minas Gerais	VSR	Pos	MG	Brazil												0.0091074681	0.0042507970	0.0023068051	0.0078947368	0.0093240093	0.0114942529	0.0094786730	0.0099009901	0.0312500000		0.0089285714																																																																									
Paraná	ADENO	Pos	PR	Brazil																																																																																															
Paraná	BAC	Pos	PR	Brazil																																																																																															
Paraná	BOCA	Pos	PR	Brazil																																																																																															
Paraná	COVS	Pos	PR	Brazil																																																																																															
Paraná	ENTERO	Pos	PR	Brazil																																																																																															
Paraná	FLUA	Pos	PR	Brazil										0.2385786802	0.1368421053	0.0578034682	0.0392156863	0.0400000000	0.0181818182		0.0384615385		0.0350877193								0.0800000000	0.0238095238	0.0851063830	0.0816326531	0.1428571429	0.1785714286	0.2454545455	0.1344537815	0.2380952381	0.2250000000	0.1279069767	0.1132075472	0.0491803279				0.0769230769	0.0882352941	0.0526315789				0.4716981132	0.3035714286	0.2622950820	0.2820512821	0.2666666667	0.1965811966	0.2500000000	0.1381215470	0.1666666667	0.1010101010	0.0655737705											0.0161290323			0.0784313725	0.1317829457	0.1467889908	0.1777777778	0.2752808989	0.1831683168	0.1856287425	0.1578947368	0.1943127962	0.1391304348	0.1529411765	0.1367521368	0.1269841270	0.0505050505	0.0869565217	0.0319148936	0.0875000000	0.0109890110					
Paraná	FLUB	Pos	PR	Brazil										0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000				0.0000000000								0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0084033613	0.0000000000	0.0085470085	0.0000000000	0.0000000000	0.0000000000				0.0000000000	0.0000000000	0.0000000000					0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0057803468	0.0000000000	0.0104166667	0.0175438596											0.0322580645			0.0707070707	0.1023622047	0.0654205607	0.1127819549	0.0693641618	0.0402010050	0.0981595092	0.0878048780	0.0724637681	0.0755555556	0.1071428571	0.0689655172	0.0240000000	0.0833333333	0.0530973451	0.0000000000	0.0256410256	0.0109890110					
Paraná	META	Pos	PR	Brazil																																																																																															
Paraná	PARA	Pos	PR	Brazil																																																																																															
Paraná	RINO	Pos	PR	Brazil																																																																																															
Paraná	SC2	Pos	PR	Brazil										0.3807768642	0.4392638037	0.5495327103	0.5547218629	0.5182876143	0.3966415750	0.3889392566	0.2768791627	0.1958041958	0.1518105850	0.1242038217	0.1175616836	0.1199421965	0.1370629371	0.1952908587	0.2538011696	0.2590252708	0.3390894819	0.3872832370	0.4046610169	0.3895476504	0.3488126649	0.3229594833	0.3155619597	0.3214487832	0.2967479675	0.2977396726	0.2608142494	0.2757092199	0.2231404959	0.1933827724	0.1866825208	0.1556179775	0.1161455010	0.0910973085	0.0655021834	0.0563947633	0.0566251416	0.0616113744	0.0450000000	0.0682170543	0.0292397661	0.0757780785	0.1417475728	0.2450657895	0.3516930023	0.4057712861	0.4410011919	0.4571799308	0.4403992954	0.4165302782	0.3937246964	0.3163265306	0.2262626263	0.1761363636	0.1258064516	0.0923566879	0.1627296588	0.1302211302	0.1280193237	0.1360946746	0.1247974068	0.1590214067	0.1504315660	0.1625560538	0.1190108192	0.1111111111	0.1160593792	0.1089918256	0.0977198697	0.0984503191	0.0924623116	0.0997706422	0.0858806405	0.0572597137	0.0594965675	0.0817438692	0.0725388601	0.0640243902	0.0590551181	0.0666666667	0.1100917431	0.0859375000	0.1044776119	0.1568627451	0.1406250000
Paraná	VSR	Pos	PR	Brazil															0.0099009901				0.1568627451								0.2028985507	0.1842105263	0.1395348837	0.0666666667	0.0735294118	0.0673076923	0.0582524272	0.0091743119	0.0250000000	0.0277777778	0.0131578947		0.0338983051					0.0000000000	0.0000000000							0.0185185185		0.0357142857		0.0344827586	0.0581395349	0.0533333333												0.0862068966			0.3186813187	0.1570247934	0.2700000000	0.2030075188	0.1699346405	0.1042944785	0.0890410959	0.0937500000	0.0679012346	0.0424242424	0.0517241379	0.0609756098	0.0631578947	0.0307692308	0.0459770115	0.0277777778	0.0307692308	0.0405405405					
Paraíba	ADENO	Pos	PB	Brazil																																																																																															
Paraíba	BAC	Pos	PB	Brazil																																																																																															
Paraíba	COVS	Pos	PB	Brazil																																																																																															
Paraíba	FLUA	Pos	PB	Brazil																																																																																															
Paraíba	FLUB	Pos	PB	Brazil																																																																																															
Paraíba	META	Pos	PB	Brazil																																																																																															
Paraíba	PARA	Pos	PB	Brazil																																																																																															
Paraíba	RINO	Pos	PB	Brazil																																																																																															
Paraíba	SC2	Pos	PB	Brazil													0.6962616822	0.7122641509																					0.4191919192	0.4082969432	0.3037974684	0.2864583333	0.2482517483	0.2064220183	0.1452513966	0.0845070423	0.0659898477	0.0521739130	0.0506329114	0.0384615385	0.0125000000	0.0112359551	0.0508474576	0.0781250000	0.0449438202	0.1333333333	0.3048780488	0.6009501188	0.6352793471	0.5536823425	0.3756218905	0.2887700535	0.1604278075	0.1011235955	0.1296296296	0.1222222222	0.1047619048	0.0147058824	0.0307692308	0.0000000000	0.0149253731	0.0000000000	0.0769230769	0.0465116279	0.0270270270	0.0317460317	0.0821917808	0.0737704918	0.1081081081	0.0684931507	0.1325301205	0.1250000000	0.2023809524	0.3076923077	0.3525179856	0.3361344538	0.4351851852	0.2888888889	0.3809523810										
Paraíba	VSR	Pos	PB	Brazil																																																																																															
Pará	ADENO	Pos	PA	Brazil																																																																																															
Pará	BAC	Pos	PA	Brazil																																																																																															
Pará	COVS	Pos	PA	Brazil																																																																																															
Pará	FLUA	Pos	PA	Brazil												0.0312500000	0.0000000000	0.0000000000	0.0068027211																																																																																
Pará	FLUB	Pos	PA	Brazil												0.0000000000	0.0000000000	0.0000000000	0.0000000000																																																																																
Pará	META	Pos	PA	Brazil																																																																																															
Pará	PARA	Pos	PA	Brazil																																																																																															
Pará	RINO	Pos	PA	Brazil																																																																																															
Pará	SC2	Pos	PA	Brazil										0.2000000000	0.4390243902	0.6530120482	0.6880503145	0.4708860759	0.2600536193	0.1666666667	0.1318681319	0.0793650794	0.0842105263		0.0161290323	0.0241935484	0.0724637681	0.0357142857		0.0163934426				0.0172413793	0.0689655172	0.1562500000		0.2619047619	0.4159292035	0.4246575342	0.4137931034	0.3048780488	0.2592592593													0.3750000000				0.3773584906											0.4166666667	0.3913043478		0.1692307692																									
Pará	VSR	Pos	PA	Brazil												0.0000000000	0.0000000000	0.0000000000	0.0000000000																																																																																
Pernambuco	ADENO	Pos	PE	Brazil																																																																																															
