CD_MUN,CD_UF,SIGLA_UF,NM_UF,NM_UF_NORM,NM_MUN,NM_MUN_NORM,REGIAO,lat,long
1400282,14,RR,Roraima,RORAIMA,Iracema,IRACEMA,NORTE,2.181807877209425,-62.401659326868796
1400308,14,RR,Roraima,RORAIMA,Mucajaí,MUCAJAI,NORTE,2.510970974764502,-61.996788650473555
1400407,14,RR,Roraima,RORAIMA,Normandia,NORMANDIA,NORTE,3.878878783353005,-60.06543380153883
1400456,14,RR,Roraima,RORAIMA,Pacaraima,PACARAIMA,NORTE,4.168524263929725,-60.839380980175584
1400472,14,RR,Roraima,RORAIMA,Rorainópolis,RORAINOPOLIS,NORTE,0.03804099733468974,-61.01117500797124
1400506,14,RR,Roraima,RORAIMA,São João da Baliza,SAO JOAO DA BALIZA,NORTE,0.6357800840647316,-59.8450199749341
1400605,14,RR,Roraima,RORAIMA,São Luiz,SAO LUIZ,NORTE,0.8844346761441175,-60.15183599987063
1400704,14,RR,Roraima,RORAIMA,Uiramutã,UIRAMUTA,NORTE,4.6854249499432905,-60.27933517152137
1500107,15,PA,Pará,PARA,Abaetetuba,ABAETETUBA,NORTE,-1.7302572723420493,-48.88306887591996
1500131,15,PA,Pará,PARA,Abel Figueiredo,ABEL FIGUEIREDO,NORTE,-4.957318689132724,-48.42460076774081
1500206,15,PA,Pará,PARA,Acará,ACARA,NORTE,-2.035385965430784,-48.41145042016256
1500305,15,PA,Pará,PARA,Afuá,AFUA,NORTE,-0.26284105021103543,-50.72590506645382
1500347,15,PA,Pará,PARA,Água Azul do Norte,AGUA AZUL DO NORTE,NORTE,-6.772978676606437,-50.4301550564553
1500404,15,PA,Pará,PARA,Alenquer,ALENQUER,NORTE,-0.6046827090634037,-55.03915549632457
1500503,15,PA,Pará,PARA,Almeirim,ALMEIRIM,NORTE,0.28447893622124854,-53.893585053718944
1500602,15,PA,Pará,PARA,Altamira,ALTAMIRA,NORTE,-6.486171805709006,-53.88668321249472
1500701,15,PA,Pará,PARA,Anajás,ANAJAS,NORTE,-0.8271325487525077,-49.9613911726669
1500800,15,PA,Pará,PARA,Ananindeua,ANANINDEUA,NORTE,-1.3340768578953144,-48.38354432668742
1500859,15,PA,Pará,PARA,Anapu,ANAPU,NORTE,-3.997185121708105,-51.3012777354932
1500909,15,PA,Pará,PARA,Augusto Corrêa,AUGUSTO CORREA,NORTE,-1.1047124576174725,-46.5074156236778
1500958,15,PA,Pará,PARA,Aurora do Pará,AURORA DO PARA,NORTE,-2.231178571300404,-47.72635254558255
1501006,15,PA,Pará,PARA,Aveiro,AVEIRO,NORTE,-3.6672151007329488,-56.0162983565211
1501105,15,PA,Pará,PARA,Bagre,BAGRE,NORTE,-2.3731431089328945,-50.1817669825938
1501204,15,PA,Pará,PARA,Baião,BAIAO,NORTE,-3.129827240710866,-49.6989798602519
1501253,15,PA,Pará,PARA,Bannach,BANNACH,NORTE,-7.486384401314646,-50.634416339161405
1501303,15,PA,Pará,PARA,Barcarena,BARCARENA,NORTE,-1.4986179928198258,-48.63423094923131
1501402,15,PA,Pará,PARA,Belém,BELEM,NORTE,-1.2407186555541538,-48.45991077071476
1501451,15,PA,Pará,PARA,Belterra,BELTERRA,NORTE,-3.1911274514889043,-54.992849710605945
1501501,15,PA,Pará,PARA,Benevides,BENEVIDES,NORTE,-1.339617610894158,-48.27562032243051
1501576,15,PA,Pará,PARA,Bom Jesus do Tocantins,BOM JESUS DO TOCANTINS,NORTE,-5.05426669917955,-48.76351445005969
1501600,15,PA,Pará,PARA,Bonito,BONITO,NORTE,-1.3873373704970515,-47.30228049511101
1501709,15,PA,Pará,PARA,Bragança,BRAGANCA,NORTE,-1.1930864564728334,-46.76358126911983
1501725,15,PA,Pará,PARA,Brasil Novo,BRASIL NOVO,NORTE,-3.292106289037456,-52.68540476126748
1501758,15,PA,Pará,PARA,Brejo Grande do Araguaia,BREJO GRANDE DO ARAGUAIA,NORTE,-5.735506806840515,-48.43188898399919
1501782,15,PA,Pará,PARA,Breu Branco,BREU BRANCO,NORTE,-3.733484053750865,-49.37122009872789
1501808,15,PA,Pará,PARA,Breves,BREVES,NORTE,-1.1209050409023038,-50.62814636587193
1501907,15,PA,Pará,PARA,Bujaru,BUJARU,NORTE,-1.632969008042318,-48.08987703873519
1501956,15,PA,Pará,PARA,Cachoeira do Piriá,CACHOEIRA DO PIRIA,NORTE,-1.9886736565556569,-46.44321355794549
1502004,15,PA,Pará,PARA,Cachoeira do Arari,CACHOEIRA DO ARARI,NORTE,-0.8694236167631433,-48.877241421472945
1502103,15,PA,Pará,PARA,Cametá,CAMETA,NORTE,-2.253061762016818,-49.51357185465954
1502152,15,PA,Pará,PARA,Canaã dos Carajás,CANAA DOS CARAJAS,NORTE,-6.424205512082495,-50.08567399919154
