state	pathogen	test_result	state_code	country	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
Mato Grosso	SC2	1	MA	Brazil	8	13	25	127	1000	2096	2569	1569	1088	513	254	128	63	40	10	5	5	2	6	3	7	14	37	48	102	157	223	254	321	368	318	267	158	90	64	27	27	11	2	2	6	0	0	0	1	3	1	1	2	22	63	90	199	50	0	23	8	4	4	0	0
Mato Grosso	SC2	0	MA	Brazil	267	423	422	785	1800	2074	1931	1067	1023	761	626	571	439	442	407	344	330	291	339	224	242	156	232	207	310	365	517	467	608	627	582	526	332	200	206	215	173	215	180	154	161	152	131	13	77	97	96	18	48	155	218	271	223	69	0	2	20	17	14	15	0
Mato Grosso	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amazonas	SC2	0	MA	Brazil	7	16	16	81	452	745	485	332	249	130	149	136	66	107	106	95	51	136	51	30	39	33	51	42	34	42	61	54	137	146	292	151	224	117	56	69	52	35	58	26	24	17	15	0	24	32	47	9	10	32	28	24	27	4	0	2	0	1	0	0	0
São Paulo	SC2	1	MA	Brazil	74	109	274	1335	8885	8391	7569	3267	2835	2185	2271	526	191	182	66	267	377	551	632	693	1314	1776	2365	3426	4876	5950	5966	3717	3289	2524	3354	3149	1642	915	604	418	314	207	132	85	110	96	97	107	87	290	591	139	546	647	705	437	331	245	20	102	159	378	290	316	0
Ceará	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ceará	SC2	0	MA	Brazil	2	2	1	76	188	136	0	5	1	2	0	2	0	2	0	0	3	1	2	3	1	2	1	5	1	1	0	1	1	71	87	71	36	34	17	3	13	26	10	18	16	15	13	13	14	8	9	4	11	38	93	64	36	23	3	0	12	12	3	7	0
Maranhão	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio Grande do Norte	SC2	1	MA	Brazil	0	0	0	0	2	4	1	45	170	1	5	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	3	1	12	10	8	6	3	2	0	2	0	0	0	0	0	0	0	0	0	1	1	1	7	26	14	10	4	1	0	0	0	0	0	0
Rio Grande do Norte	SC2	0	MA	Brazil	1	20	3	2	2	28	0	12	60	1	5	0	0	0	0	26	37	26	8	10	14	11	9	5	3	1	6	8	2	26	11	14	6	9	6	1	11	7	1	7	8	3	5	4	0	1	3	1	2	18	16	26	16	16	0	0	1	3	4	0	0
