name	pathogen	test_result	epiweek	0-4	19-29	29-39	39-49	4-9	49-59	59-69	69-79	80+	9-19
Brasil	VSR	Pos	2022-03-19	66	5	10	7	5	3	1	1	2	4
Brasil	ENTERO	Neg	2022-03-19	4	2	1	2	2	0	2	0	0	1
Brasil	COVS	Pos	2022-03-19	0	0	0	0	0	0	0	0	0	0
Brasil	BAC	Neg	2022-03-19	34	2	1	2	8	0	2	0	0	4
Brasil	PARA	Neg	2022-03-19	32	2	1	2	8	0	2	0	0	4
Brasil	VSR	Neg	2022-03-19	356	212	258	179	187	105	81	52	43	172
Brasil	FLUB	Neg	2022-03-19	214	207	252	161	101	96	74	37	36	119
Brasil	RINO	Pos	2022-03-19	24	0	0	0	3	0	1	0	0	2
Brasil	META	Pos	2022-03-19	3	0	0	0	0	0	0	0	0	0
Brasil	RINO	Neg	2022-03-19	10	2	1	2	5	0	1	0	0	2
Brasil	BAC	Pos	2022-03-19	0	0	0	0	0	0	0	0	0	0
Brasil	ENTERO	Pos	2022-03-19	0	0	0	0	0	0	0	0	0	0
Brasil	BOCA	Pos	2022-03-19	1	1	0	0	0	0	0	0	0	0
Brasil	BOCA	Neg	2022-03-26	5	1	2	0	2	2	1	0	0	1
Brasil	ENTERO	Pos	2022-03-26	0	0	0	0	0	0	0	0	0	0
Brasil	SC2	Neg	2022-03-26	445	53	106	73	223	61	51	36	30	111
Brasil	FLUB	Neg	2022-03-26	216	41	80	55	61	42	37	23	16	48
Brasil	VSR	Neg	2022-03-26	366	53	100	70	212	68	51	34	30	109
Brasil	META	Pos	2022-03-26	10	1	0	0	2	0	0	0	0	0
Brasil	VSR	Pos	2022-03-26	90	2	11	9	14	2	4	3	1	6
Brasil	RINO	Neg	2022-03-26	24	3	2	0	5	2	1	0	0	5
Brasil	META	Neg	2022-03-26	43	2	2	0	11	2	1	0	0	11
Brasil	BOCA	Pos	2022-03-26	2	1	0	0	0	0	0	0	0	0
Brasil	RINO	Pos	2022-03-26	29	0	0	0	8	0	0	0	0	6
Brasil	ENTERO	Neg	2022-03-26	7	2	2	0	2	2	1	0	0	1
Brasil	SC2	Pos	2022-03-26	8	2	5	6	1	9	4	1	1	3
Brasil	FLUB	Pos	2022-03-26	0	0	0	0	0	0	0	0	0	0
Brasil	ADENO	Pos	2022-03-26	6	0	0	0	0	0	0	0	0	0
